Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_2,phase3,9,1,D1_1,1,0.003843874972112845,0.9657603836976597,3.2777918891291645e-07,0.03039541355103756
round_2,phase2,9,1,D1_1,1,0.00019294822478125863,0.7172515798390369,0.27016694197186625,0.012388529964315222
round_2,phase1,9,1,D1_1,1,0.0005124385091245479,0.7601764826222349,0.20230840076309428,0.03700267810554523
round_4,phase3,9,1,D1_1,3,0.001486313384065197,0.000459097347435398,8.190751229432793e-05,0.9979726817562066
round_4,phase2,9,1,D1_1,3,0.004887912801235732,0.07261822073795524,0.2534858052093281,0.6690080612514826
round_4,phase1,9,1,D1_1,3,0.0009518084739088864,0.3993694550202424,1.2530276066411492e-06,0.5996774834782435
round_1,phase3,9,1,D1_1,0,1.0,4.348745797277292e-28,8.805933751801144e-16,1.5678933299663292e-22
round_1,phase2,9,1,D1_1,3,0.002148397753898943,1.125548623393833e-05,0.24762040173854602,0.7502199450213205
round_1,phase1,9,1,D1_1,3,0.11605810525520227,9.657529090806529e-05,3.3738777928803467e-12,0.8838453194505163
round_3,phase3,10,1,D1_1,1,0.017421171069455125,0.7794752483182651,0.000825730291182094,0.20227785032109602
round_3,phase2,10,1,D1_1,3,0.0021894277518958905,0.0009285045820415147,0.0016101749208457248,0.9952718927452184
round_3,phase1,10,1,D1_1,1,0.00014723769544491353,0.9536583719656656,8.596278551233174e-05,0.04610842755337771
round_2,phase3,10,1,D1_1,3,0.12477430119613608,5.1192957497427584e-05,2.750369849293339e-05,0.875147002147872
round_2,phase2,10,1,D1_1,2,0.01606307696804381,0.00014325079315543162,0.9837906587055114,3.013533287616232e-06
round_2,phase1,10,1,D1_1,3,0.0010419405144100038,2.85020907693961e-06,4.1532369164960745e-09,0.9989552051232777
round_4,phase3,10,1,D1_1,1,0.0009460308850001188,0.9960608566213424,3.4973210499895975e-05,0.0029581392831562092
round_4,phase2,10,1,D1_1,2,0.004453153953218809,0.3060739840126792,0.6549774044453707,0.034495457588732945
round_4,phase1,10,1,D1_1,0,0.6130482438816208,7.006388895175555e-10,0.00021157558965157562,0.3867401798280874
round_1,phase3,10,1,D1_1,0,0.9847520291010323,8.472653489732313e-10,0.015247969643821375,4.0788010111622096e-10
round_1,phase2,10,1,D1_1,2,1.5111075154732596e-05,1.9582766334540156e-09,0.9423433720132489,0.057641514953321
round_1,phase1,10,1,D1_1,3,0.0003222063928947943,6.950883927662111e-08,0.011159035306482771,0.9885186887917832
round_3,phase3,11,0,D1_1,3,0.0019001227701986013,0.0036637817297136064,2.3899110915595925e-07,0.9944358565089796
round_3,phase2,11,0,D1_1,2,0.059071658950561684,9.401530498358426e-05,0.9408173583118922,1.6967432563408597e-05
round_3,phase1,11,0,D1_1,1,0.0013105529949109986,0.9932316113393881,0.0016730212205498204,0.0037848144451512584
round_2,phase3,11,0,D1_1,3,0.06866770641600496,0.10411961373689288,2.8891237597757483e-05,0.8271837886095043
round_2,phase2,11,0,D1_1,2,0.0008413754364770865,0.0010145098306365426,0.9955574770536205,0.002586637679267525
round_2,phase1,11,0,D1_1,3,0.00025872125063852605,0.004177646988104735,0.00020500990607204105,0.9953586218551852
round_4,phase3,11,0,D1_1,0,0.9976901141520785,2.9507271534778773e-09,0.0023092965568254314,5.863403673486011e-07
round_4,phase2,11,0,D1_1,2,0.1497040242082865,0.051234651915564706,0.7624638487630814,0.03659747511306894
round_4,phase1,11,0,D1_1,1,0.000333366861512993,0.9956101441979972,3.2288955216695126e-15,0.004056488940487369
round_1,phase3,11,0,D1_1,3,0.0015623789083023926,2.9609046109122074e-10,0.0402402592945015,0.9581973615011051
round_1,phase2,11,0,D1_1,2,0.0012884952296784355,1.2095970826551237e-11,0.9987097438960856,1.7608621400481903e-06
round_1,phase1,11,0,D1_1,3,0.016805313360497266,0.000909084059267458,0.11022822126045609,0.8720573813197792
round_3,phase3,12,0,D1_1,0,0.9346294010262141,3.612003888455152e-05,0.036887594238890146,0.02844688469600986
round_3,phase2,12,0,D1_1,1,0.00034548026612820346,0.9756677127160606,0.0023482477279812503,0.02163855928983107
round_3,phase1,12,0,D1_1,3,0.0009052458974606153,0.0017280855631621904,0.0001093122782666948,0.9972573562611093
round_2,phase3,12,0,D1_1,3,0.00011299339364441467,4.1651939006065596e-05,8.010517984130747e-07,0.9998445536155522
round_2,phase2,12,0,D1_1,3,0.03489817195021777,0.00011735484789539055,1.3698852824205976e-05,0.9649707743490621
round_2,phase1,12,0,D1_1,1,0.006599053708904389,0.9528351577552976,0.011875526340013454,0.02869026219578362
