PLS1,Round,Phase,Individual,Puzzler,Cohort
-2.0595179939561703,round_3,phase3,13,1,D1_1
-1.748208918780626,round_3,phase2,13,1,D1_1
-0.8170711306503369,round_3,phase1,13,1,D1_1
-1.4927248510967708,round_2,phase3,13,1,D1_1
-1.5586347217609042,round_2,phase2,13,1,D1_1
0.5511009909786507,round_2,phase1,13,1,D1_1
-1.1442362435936495,round_4,phase3,13,1,D1_1
-2.2793262555032987,round_4,phase2,13,1,D1_1
-1.5974634858109344,round_4,phase1,13,1,D1_1
-1.992466226197048,round_1,phase3,13,1,D1_1
-1.6524214970621116,round_1,phase2,13,1,D1_1
-0.8102518329345937,round_1,phase1,13,1,D1_1
-1.3616521036626281,round_3,phase3,14,0,D1_1
-1.3119813852047035,round_3,phase2,14,0,D1_1
-1.899216263870731,round_3,phase1,14,0,D1_1
-1.38473397123692,round_2,phase3,14,0,D1_1
-2.912445191787697,round_2,phase2,14,0,D1_1
-0.9586794395260774,round_2,phase1,14,0,D1_1
-1.3469066957891693,round_4,phase3,14,0,D1_1
-1.7212855383330488,round_4,phase2,14,0,D1_1
-1.4017496629819028,round_4,phase1,14,0,D1_1
-1.7778532500297441,round_1,phase3,14,0,D1_1
-1.6472412589404057,round_1,phase2,14,0,D1_1
-3.0993151415308855,round_1,phase1,14,0,D1_1
0.7259875668239604,round_3,phase3,15,1,D1_2
0.08800579612486464,round_3,phase2,15,1,D1_2
2.6887024359505274,round_3,phase1,15,1,D1_2
5.5775186544110715,round_2,phase3,15,1,D1_2
2.810583368154891,round_2,phase2,15,1,D1_2
2.133420415997534,round_2,phase1,15,1,D1_2
4.949918570341849,round_4,phase3,15,1,D1_2
4.146430869571803,round_4,phase2,15,1,D1_2
2.727298986505445,round_4,phase1,15,1,D1_2
6.166847000341393,round_1,phase3,15,1,D1_2
3.353890529980337,round_1,phase2,15,1,D1_2
3.3771864200134356,round_1,phase1,15,1,D1_2
1.0923175392749171,round_3,phase3,16,0,D1_2
1.7988722648770072,round_3,phase2,16,0,D1_2
1.4746496662975062,round_3,phase1,16,0,D1_2
2.1300111107815387,round_2,phase3,16,0,D1_2
3.4875936776901524,round_2,phase2,16,0,D1_2
1.2873766434468825,round_2,phase1,16,0,D1_2
1.0210557162289375,round_4,phase3,16,0,D1_2
0.6111562953949703,round_4,phase2,16,0,D1_2
2.2177811379301966,round_4,phase1,16,0,D1_2
4.963285896688245,round_1,phase3,16,0,D1_2
3.946448425235255,round_1,phase2,16,0,D1_2
2.737553868887509,round_1,phase1,16,0,D1_2
0.6619374553006807,round_3,phase3,17,0,D1_2
0.023955684601585134,round_3,phase2,17,0,D1_2
2.624652324427248,round_3,phase1,17,0,D1_2
0.7849387154188563,round_2,phase3,17,0,D1_2
1.9954770264063315,round_2,phase2,17,0,D1_2
3.5822278222594157,round_2,phase1,17,0,D1_2
1.971609121858021,round_4,phase3,17,0,D1_2
1.7237451659968444,round_4,phase2,17,0,D1_2
1.7415585934564897,round_4,phase1,17,0,D1_2
5.048254201679773,round_1,phase3,17,0,D1_2
2.5452362825839567,round_1,phase2,17,0,D1_2
0.8622619662557619,round_1,phase1,17,0,D1_2
1.1713251380728318,round_3,phase3,18,1,D1_2
1.335631585537697,round_3,phase2,18,1,D1_2
1.0053783641113574,round_3,phase1,18,1,D1_2
3.45637085096061,round_2,phase3,18,1,D1_2
2.913164691750245,round_2,phase2,18,1,D1_2
3.491234682117369,round_2,phase1,18,1,D1_2
0.23620186084235356,round_4,phase3,18,1,D1_2
0.35192933273191074,round_4,phase2,18,1,D1_2
5.760705513293111,round_4,phase1,18,1,D1_2
4.775559510203748,round_1,phase3,18,1,D1_2
7.519219344630606,round_1,phase2,18,1,D1_2
4.091960430853411,round_1,phase1,18,1,D1_2
8.20152853749942,round_3,phase3,19,1,D1_2
8.852728808612742,round_3,phase2,19,1,D1_2
9.730184417118286,round_3,phase1,19,1,D1_2
6.062582360904264,round_2,phase3,19,1,D1_2
5.340547198960178,round_2,phase2,19,1,D1_2
7.3191812590034875,round_2,phase1,19,1,D1_2
12.183256157930337,round_4,phase3,19,1,D1_2
4.021602727923445,round_4,phase2,19,1,D1_2
9.47819388592673,round_4,phase1,19,1,D1_2
7.210120640452329,round_1,phase3,19,1,D1_2
7.553452371002063,round_1,phase2,19,1,D1_2
9.345925767472728,round_1,phase1,19,1,D1_2
2.18290497328161,round_3,phase3,20,0,D1_2
2.9853896045867585,round_3,phase2,20,0,D1_2
5.191244853404464,round_3,phase1,20,0,D1_2
0.2777364729135444,round_2,phase3,20,0,D1_2
4.053593968040958,round_2,phase2,20,0,D1_2
7.159440862416327,round_2,phase1,20,0,D1_2
1.4216840971755054,round_4,phase3,20,0,D1_2
2.5373113034547163,round_4,phase2,20,0,D1_2
2.614371297286348,round_4,phase1,20,0,D1_2
3.579823222407442,round_1,phase3,20,0,D1_2
7.326767816757647,round_1,phase2,20,0,D1_2
2.8671325005356367,round_1,phase1,20,0,D1_2
-0.6566758066567816,round_3,phase3,21,1,D1_3
-0.9861086370331587,round_3,phase2,21,1,D1_3
-1.0990430084758769,round_3,phase1,21,1,D1_3
0.17984088921206987,round_2,phase3,21,1,D1_3
-0.1085783765441295,round_2,phase2,21,1,D1_3
0.16980921073368827,round_2,phase1,21,1,D1_3
-1.239757926294423,round_4,phase3,21,1,D1_3
-0.6226293174119241,round_4,phase2,21,1,D1_3
-1.063154168009942,round_4,phase1,21,1,D1_3
-0.04367692058882777,round_1,phase3,21,1,D1_3
0.13812917765258395,round_1,phase2,21,1,D1_3
-0.5629609241204876,round_1,phase1,21,1,D1_3
-0.8657020063350236,round_3,phase3,22,0,D1_3
-1.1173358576921808,round_3,phase2,22,0,D1_3
-0.8214295841302265,round_3,phase1,22,0,D1_3
-0.38804695321401494,round_2,phase3,22,0,D1_3
-0.9066896953852186,round_2,phase2,22,0,D1_3
-1.0887412107563414,round_2,phase1,22,0,D1_3
-1.5910622983601976,round_4,phase3,22,0,D1_3
-1.3416752645739203,round_4,phase2,22,0,D1_3
-1.8524831334108298,round_4,phase1,22,0,D1_3
-1.8033840429496428,round_1,phase3,22,0,D1_3
-0.9344191237928348,round_1,phase2,22,0,D1_3
