Round,Phase,Individual,Puzzler,Cohort,pa_score,na_score,emotional_cluster_id,emotional_cluster,prob_emotional_0,prob_emotional_1,prob_emotional_2,prob_emotional_3
round_2,phase1,6,1,D1_6,1.2,0.8333333333333334,2,Drained/Disengaged,0.055863310252433906,0.015831048137145858,0.9206910861384382,0.00761455547198205
round_4,phase3,6,1,D1_6,1.0,0.8333333333333334,2,Drained/Disengaged,0.04595256347134502,0.01743233195500324,0.9288195768509001,0.007795527722751715
round_4,phase2,6,1,D1_6,2.0,1.1666666666666667,1,Tense/Stressed,0.002245256125433946,0.8663883819340524,0.03778290333244758,0.09358345860806604
round_4,phase1,6,1,D1_6,2.0,0.8333333333333334,0,Engaged/Calm,0.4871210552316852,0.04610053073737531,0.4349401454591136,0.03183826857182591
round_1,phase3,6,1,D1_6,2.4,1.1666666666666667,1,Tense/Stressed,0.0037587942514964627,0.8740584698163887,0.004178171611677423,0.11800456432043738
round_1,phase2,6,1,D1_6,2.4,1.1666666666666667,1,Tense/Stressed,0.0037587942514964627,0.8740584698163887,0.004178171611677423,0.11800456432043738
round_1,phase1,6,1,D1_6,1.8,1.0,2,Drained/Disengaged,0.10505111066891291,0.17182738357075383,0.6956355506857618,0.0274859550745716
round_3,phase3,7,1,D1_1,1.4,1.0,2,Drained/Disengaged,0.030620368210921487,0.08666807033421237,0.8711418303188001,0.011569731136065986
round_3,phase2,7,1,D1_1,2.4,1.6666666666666667,3,Alert/Anxious,1.466342363884269e-19,0.15125345313834032,2.7285741213679084e-14,0.8487465468616323
round_3,phase1,7,1,D1_1,1.4,1.0,2,Drained/Disengaged,0.030620368210921487,0.08666807033421237,0.8711418303188001,0.011569731136065986
round_2,phase3,7,1,D1_1,1.4,1.0,2,Drained/Disengaged,0.030620368210921487,0.08666807033421237,0.8711418303188001,0.011569731136065986
round_2,phase2,7,1,D1_1,2.2,1.8333333333333333,3,Alert/Anxious,8.649623178742735e-29,0.010068467271057622,2.9274476675391525e-20,0.9899315327289426
round_2,phase1,7,1,D1_1,1.4,1.0,2,Drained/Disengaged,0.030620368210921487,0.08666807033421237,0.8711418303188001,0.011569731136065986
round_4,phase3,7,1,D1_1,1.0,0.8333333333333334,2,Drained/Disengaged,0.04595256347134502,0.01743233195500324,0.9288195768509001,0.007795527722751715
round_4,phase2,7,1,D1_1,1.4,1.5,1,Tense/Stressed,6.988539427839591e-13,0.7090037837845576,1.5771194132326327e-07,0.29099605850280236
round_4,phase1,7,1,D1_1,1.8,1.0,2,Drained/Disengaged,0.10505111066891291,0.17182738357075383,0.6956355506857618,0.0274859550745716
round_1,phase3,7,1,D1_1,1.6,1.3333333333333333,1,Tense/Stressed,1.8924458108982386e-07,0.8851786152361216,0.00041522317775311826,0.11440597234154412
round_1,phase2,7,1,D1_1,2.4,1.3333333333333333,1,Tense/Stressed,5.060423875593129e-07,0.8358916096822213,1.1218234540900565e-05,0.16409666604085024
round_1,phase1,7,1,D1_1,1.4,1.0,2,Drained/Disengaged,0.030620368210921487,0.08666807033421237,0.8711418303188001,0.011569731136065986
round_3,phase3,8,0,D1_1,1.2,1.5,1,Tense/Stressed,5.377389916801951e-13,0.7252081970660516,1.8359031263274546e-07,0.2747916193430981
round_3,phase2,8,0,D1_1,2.8,1.5,1,Tense/Stressed,3.1723746731950907e-12,0.5335644278585473,1.1056601965492637e-10,0.46643557202771435
round_3,phase1,8,0,D1_1,1.6,1.0,2,Drained/Disengaged,0.05347351109536834,0.11465475621444336,0.8151759450721409,0.01669578761804741
round_2,phase3,8,0,D1_1,2.2,1.1666666666666667,1,Tense/Stressed,0.0029391865160175363,0.8773636315540528,0.014118663582015708,0.1055785183479138
round_2,phase2,8,0,D1_1,2.6,1.8333333333333333,3,Alert/Anxious,1.119002221265021e-28,0.007959938680227228,1.6439920924500264e-21,0.9920400613197727
round_2,phase1,8,0,D1_1,2.4,1.0,0,Engaged/Calm,0.4810699569696235,0.36426481096521396,0.0740969573284674,0.0805682747366952
round_4,phase3,8,0,D1_1,1.0,0.8333333333333334,2,Drained/Disengaged,0.04595256347134502,0.01743233195500324,0.9288195768509001,0.007795527722751715
round_4,phase2,8,0,D1_1,3.6,1.6666666666666667,3,Alert/Anxious,2.681465437557277e-19,0.07157914222920536,9.32867391921127e-20,0.9284208577707947
round_4,phase1,8,0,D1_1,1.2,1.0,2,Drained/Disengaged,0.02071815768569662,0.07795229306962356,0.891722384013964,0.009607165230715834
round_1,phase3,8,0,D1_1,2.8,1.1666666666666667,1,Tense/Stressed,0.005877362331737717,0.8469434087978821,0.00018636551298743337,0.14699286335739276
