UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
9.002417,2.0428464,5.6352463,2.0378153,7.472256,4.7577677,0.6621609,9.433145,2.303864,0.7322276,round_3,phase1,5,0,D1_6
8.340544,0.59091073,5.7392473,2.7806885,7.6456594,3.372115,0.538418,10.035437,2.2240674,0.7326893,round_2,phase3,5,0,D1_6
8.341254,0.50819016,5.773603,2.8699577,7.6082463,3.2741137,0.5368329,10.0171385,2.2190695,0.760831,round_2,phase2,5,0,D1_6
8.807459,2.473294,5.3043537,2.081314,7.9871154,4.721439,0.6118255,9.844829,2.2081296,1.2289892,round_2,phase1,5,0,D1_6
8.165431,1.8069913,5.3589506,0.7626974,8.427377,4.104031,0.36018646,10.227266,1.8426368,0.65945405,round_4,phase3,5,0,D1_6
8.983638,1.9950727,5.61815,2.0733783,7.3801465,4.752539,0.69219506,9.411313,2.380494,0.75887346,round_4,phase2,5,0,D1_6
8.385148,0.54235464,5.8036838,2.7982347,7.68176,3.3838797,0.5953854,10.112422,2.1718733,0.5568827,round_4,phase1,5,0,D1_6
8.9864235,2.1257482,5.584827,2.0247505,7.5542006,4.8052163,0.54675865,9.474492,2.2309039,0.759109,round_1,phase3,5,0,D1_6
8.837566,2.07714,5.5824714,1.664468,7.6715407,4.6760983,0.5587725,9.438514,2.1863387,0.9006691,round_1,phase2,5,0,D1_6
8.906606,2.1020143,5.536859,1.9061325,7.4847765,4.7657638,0.5829626,9.414551,2.32436,0.9068299,round_1,phase1,5,0,D1_6
8.798561,2.45222,5.5228114,1.3279614,8.269274,4.733889,0.3288712,9.639026,1.7658079,0.87130576,round_3,phase3,6,1,D1_6
8.702602,2.570858,5.2136564,2.1133819,8.403368,4.5459275,0.76252466,10.299558,2.130056,1.2047197,round_3,phase2,6,1,D1_6
8.397057,0.107967936,6.023715,3.3847148,7.422658,2.4428902,0.25576138,9.565709,1.8584492,1.2774993,round_3,phase1,6,1,D1_6
