PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,Round,Phase,Individual,Puzzler,Cohort
-1.547771272997854,-0.2873658347387467,-1.865187085127867,-0.916808822783729,1.3982423899854233,-0.6247377132829324,1.0291368421498202,0.3784449396849136,-1.2476867405806866,1.334475329040861,3.5776132487740115,-0.11232359483811712,-1.690554462233115,-1.607265441770822,1.4097522967847136,1.0088262049857748,-0.4473043249790951,1.312144438030716,round_1,phase2,1,1,D1_4
-1.77012329798459,1.0484222264995473,-0.4268194576339466,0.6829836332379107,-0.6488216620057431,-0.6893003139655499,-0.6258237799146764,1.250142823452611,0.02243672623799652,0.2360425136910712,2.549534794975314,0.07487678046970336,0.12330507039393208,-1.4930089297856575,-0.4911260543227462,0.38082126823515444,0.3682243297936939,1.9871172644057495,round_1,phase1,1,1,D1_4
-0.5561400756751704,-1.2116901760152994,2.2365270460071667,-0.7243173563935407,-0.9634725676660015,-1.8130600317259904,-0.16520949305900293,-1.1003168408414492,-0.026081412921723814,0.6766173557434241,0.161736757151044,-0.23560322889202567,-1.3921175212049508,-0.6881272606215383,0.8341616088288991,-0.7056585423841699,0.4020561896871189,-1.2773330546456845,round_3,phase3,2,0,D1_4
-1.0045078211864402,0.82459054819593,0.5010813129863017,-0.5472377615485792,-1.1036884534001372,-2.2288152965465033,-2.2985262077793864,0.7865490803763829,-0.03780777959927132,-0.6877592182382414,-0.0778089645171774,-0.3755109916963448,0.7400307811907987,-0.5688948922982624,-1.026249401303125,-0.8561131282230234,-1.3100113314486326,-0.23960185607636653,round_3,phase2,2,0,D1_4
-1.0257970785874964,-0.11983431121113185,-1.0968831008498507,-2.2277753472009216,-1.35435153953583,-1.3835766993539214,0.522293668134981,0.35412529421610645,0.7584419152574943,1.1229926485070814,0.019448471302356357,-0.269153470951031,-1.0307731140963285,-1.2757863900543116,-0.11682410525135008,-0.6121963130448695,-1.1800847287684604,0.7831954728093152,round_3,phase1,2,0,D1_4
-1.0225669463913953,-0.6975110817091724,-0.45382004365143686,-1.9808745912379693,-1.3175302104006286,-1.629916444672866,0.7776607664125391,0.26186084345399374,0.5752699584132261,0.2517021615137564,0.17303711989249448,-0.5829776189177722,-0.19298290822817715,-0.19680461723727177,-0.8111113054773534,-0.5134231246422479,-0.8055699362524626,0.020975408560443977,round_2,phase3,2,0,D1_4
-0.4317129485491768,-1.8324409435898374,-0.8684010231383136,-1.090385468062893,-1.4083739217915605,-2.1236005099414386,-2.6045857738435796,0.3345988660982935,-0.3818753632056178,0.10055578663241992,-0.04460530918783719,0.14465633461448962,-0.4767238558930864,0.10044496488907521,-1.0589889243316162,-0.8542060720217913,0.8735944607974461,0.002975623882503832,round_2,phase2,2,0,D1_4
0.02960502490425614,5.324284835959365,2.298639560772549,0.719389328472537,-1.4464715021446113,-1.5990622960820997,0.4013624962038439,-1.4072815683032482,0.6867383286633397,-0.5800482632425841,0.03248571279901714,0.5584419773560741,0.1119779845663222,0.18559724753333692,-0.41733042389849195,-0.8067870920514507,-3.2545695114783584,-2.0550989010488263,round_2,phase1,2,0,D1_4
-1.0092790641247378,-1.138123390703723,-2.745070643931059,-2.1678034038486578,-1.0561837782939087,-1.7354829434915744,0.7206042260636024,0.7570209784896529,0.972749634049469,2.056959903812694,0.2287018515851318,-0.7331667157452302,0.42385579394503176,-0.6428769138229662,-0.35129570813061906,-0.29196051332113293,-0.30605064886917877,0.6039927929681549,round_4,phase3,2,0,D1_4
-0.29388404865162954,-0.563664950265563,1.506694810435164,-1.7153209809869776,-0.7715621653019621,-0.4235902528576775,0.5467476977845572,-0.49943535392339744,-0.06708956226149174,-0.7144040913698784,-0.1080742623000328,0.1529486508991587,-1.0328726944555273,-0.9479147236143666,-0.46904507903867226,-1.037758347803016,0.9089949878256475,-0.9403158470599464,round_4,phase2,2,0,D1_4
-0.9790108043822128,-1.5605972218948057,-0.712750270986399,-1.3538924667377212,-1.0618862324679808,-1.5539676987501552,0.5332164639084942,-0.6008420753132568,0.4567505534051614,-0.8550291508957476,0.022285469873444607,-0.2736553161563046,-0.6698024514753304,-0.4681578456126159,0.15108724073590418,-0.5652030855075006,0.3371220101297461,-1.2609074321880467,round_4,phase1,2,0,D1_4
-0.9272011437197125,9.75863748716905,1.7267082849647153,2.101104745975618,-1.2111563834949306,-1.735956126010592,0.2002625690748988,-0.47892114195744634,0.22919378750389674,-0.30636741366835335,0.10270190372269104,-0.014083735220621302,-0.0010164279273054582,0.6004133580324117,-0.8997928257568084,-0.6465114832914939,-4.386769189866134,-1.471082919847284,round_1,phase3,2,0,D1_4
-0.9734162242485529,-0.0209703332497941,0.7580778067771359,-1.646695255641528,0.03921079254392323,-2.0586943996340175,0.9181846364104407,-0.12774374852297185,0.8740561684211988,2.0264312743308155,-0.07294089716595951,0.07043305345813164,0.5761341114856787,0.13438297622879114,-0.3520457242880503,-0.5189494057987906,0.6885080865985773,-0.6249114609081071,round_1,phase2,2,0,D1_4
-1.113874466796367,-0.9829110812339061,-0.705466678167809,-1.2976059063664807,-1.1799244052380655,-1.3210900715111873,0.3753018106356466,-0.600184055642174,0.3835716531732003,-0.9318236354662542,-0.02386982771742652,-0.16034827740473595,-0.8267684707200684,0.13592604681499132,-0.13717863666236596,-0.3040693363372145,0.38450405006539096,-0.48085071714684646,round_1,phase1,2,0,D1_4
-0.9704425066872697,3.138880668631705,3.018595343282897,3.387431906492763,1.0059600417934143,-0.1622204280671235,0.01290135137600312,-0.4927888536882169,-2.912365510801515,-0.18650682554828285,-0.04002679962146254,-0.0016030005224988825,0.5126447739172088,-0.28750040950221484,3.1226189552417125,-0.3164662272243729,0.4812953459384931,-1.6580625929789437,round_3,phase3,3,1,D1_4
-1.326203268712169,3.2577800341016525,3.6999321643420084,1.3474583757225869,2.540818552196907,-0.876319939502505,1.0730004631728733,-0.44693250056871525,-0.9774363240627595,-0.7876645355066492,-0.23416828305177978,-0.15086519750348093,-0.21612422378300397,0.17468002672592142,-0.3716065777324437,-0.723563831680684,-2.845418905750786,-0.510340506736959,round_3,phase2,3,1,D1_4
-0.8150338305244245,0.5069806268346546,3.507281701426527,0.777442356145409,-0.41263270432245525,-1.315308804385272,0.2587088489988672,0.03572050966867821,-3.1003827474112695,0.8138408097128591,-0.09081247838459378,0.1332332192481335,1.7025156029833821,-0.919330814485311,2.51108416679284,-0.5070995671127286,2.3909410220962863,-0.04861146493940147,round_3,phase1,3,1,D1_4
-1.0012084305485087,-0.34815804960263136,2.5417209597745933,2.5247343636927715,0.6494143557670644,-1.6100295737986439,1.0118262353339726,-0.07869739527590167,-2.8437826503817365,-0.9720550286891851,-0.002898619981613464,-0.1937301522503463,0.7515021401546969,-0.1817466319718034,-0.36150468201904246,-0.37424576950991745,0.17855010449209036,-0.6084181846003983,round_2,phase3,3,1,D1_4
-0.982785435386036,1.746357936005807,3.635441402724946,-1.0454802187171828,1.5537108255751448,-2.1345396370352416,-0.6980059200911559,-0.568511783211055,-3.000675947091357,0.43345885102660403,-0.2389757672130246,0.12268862793515078,0.31616815167038864,-0.043352205292015056,-0.7129241253620621,-0.7270437576890334,0.7319835128342526,-0.708205361607129,round_2,phase2,3,1,D1_4
-0.7047344324923898,1.5850739084578849,3.5648993362554684,6.322035371128892,5.231206510351256,-1.1700034382729045,0.3150263105133861,0.17276959718484855,-4.524232734449422,3.4765334335928872,-0.21587442305726118,0.32213964974013437,-1.7691296374687584,0.3616133202428793,1.6408447265692176,-0.6114983300603156,-1.9091637043444858,-0.13397908869858483,round_2,phase1,3,1,D1_4
-0.9787045794764988,0.40245654228352834,2.073551925519032,1.3047969322036466,-0.8074854648773119,-1.4514320382605108,0.9266651734909438,0.4579508985812006,-4.358005968706787,-1.2136162357160263,-0.03250763907755963,-0.10317798907504516,1.8680398506054212,-0.2022943436876083,1.3494247174961356,-0.3705134717362232,1.0681806334161819,0.8335633561738607,round_4,phase3,3,1,D1_4
-0.9977221972195796,-0.21888445440920082,3.696525788590936,-1.8598814546738336,0.4535783810598899,-2.2545617653922996,1.0772466850340252,1.892487470644844,-0.23188656285163473,-0.4078191675971133,-0.13249387085116204,0.16055404564320996,-0.07286310175685112,-0.657049906662618,-0.32123465371854093,-0.6950083574556389,-0.15870977617048124,-0.580533334944495,round_4,phase2,3,1,D1_4
-0.8357371573944674,0.314585282885984,3.075678464547829,-0.01163442299092923,-0.6317789339563338,-1.3001534353519901,0.7153580657060554,-0.7113726651786973,-2.7504851340034833,-1.2835992072274134,-0.14534279706403774,-0.014161786758257513,2.274289259911904,-0.25781904527195193,2.4458164367871285,-0.5356262123251184,0.12037754306783782,-0.02366414361099144,round_4,phase1,3,1,D1_4
-0.6436736656884635,0.3490518724097912,3.4912689803658576,2.612054717843973,0.5316184870485492,-1.5123428213426744,0.2337031311384552,-1.0912442743461963,-3.490847844047013,-1.1536234660431632,-0.030596947058625982,-0.11089663121340898,0.3851997126420816,-0.2488230506611758,-0.9488689594883293,-0.42435907795620864,-0.2848935372348916,-0.941333918088171,round_1,phase3,3,1,D1_4
-1.154467262580327,1.3492418724425106,2.3214075558604637,4.730190990535089,0.06144283804360105,-1.880023311963237,0.04241499369988798,-2.2291407011180385e-05,1.3368849474521114,-0.025083093190692792,-0.19203654284403393,-0.09415795893426766,-1.142831788806499,-0.5328439199435627,1.4383861715151358,0.6276739959373462,-2.9457968985453413,-1.2787463600647453,round_1,phase2,3,1,D1_4
-1.0963511400160566,0.8892445061284971,3.610910957126361,0.13304500924084361,2.5908111628414523,-1.4521676185691497,0.839267370041889,-0.6810848247611758,0.4737333460707321,0.4133722390324743,-0.01969100564335117,-0.1083067107995393,-0.06354245402573862,-1.0770066230686246,-0.9452408854049141,-0.4623571712169446,1.4611672258453285,-0.7592139789094867,round_1,phase1,3,1,D1_4
-0.29305693299114693,1.5781990112492341,1.7211376740270887,0.08111478592829383,-0.3365310795125039,-1.4090213163824907,0.4373531291051986,0.9592506032378737,1.0537884239267719,7.2228537807077595,1.0428244287543205,-0.32327464382183163,-1.4359264407323988,-0.6248644515805618,1.5320198067734574,0.6729214102518859,-1.581948121794919,0.8505380684207462,round_3,phase3,4,0,D1_4
0.7141282586348766,0.4575600909204419,0.8891547192085439,-0.13622813454275587,-0.6455830303532446,-2.203767792912712,1.0395084052599013,0.1368415728602194,0.71213456455241,-0.3787106460229775,1.3503722103945939,0.8641950544171193,0.7057205361610711,-0.48808744309080815,0.20556537840667763,1.033566969813402,2.381695128823027,-0.6414853809299644,round_3,phase2,4,0,D1_4
-0.8073819460015214,-1.2592857009317642,3.092912343918593,0.20694686972384693,-0.6726589074266995,-1.4584102886402361,0.3311461977588819,-1.197575483411733,0.9351822410642296,-0.6925509805833591,0.7656709580719597,-0.043593426026787584,0.0026013064473986982,-1.249078148676856,0.29556698730921105,0.43825141465816675,0.20302150499042895,0.7499691043981325,round_3,phase1,4,0,D1_4
-0.7246138360245119,-1.8630227934918375,3.025504873562608,-0.26047052551488953,-0.6112340611639427,-1.762847649335801,0.6768437151543747,-1.7149832563028633,0.8598879077835827,-0.44069339414886255,1.0678942276866659,-0.4966285752251645,-1.6236420324000405,-0.41303303963223376,1.0947917780262053,0.7611736572904769,0.43158251818875587,1.4574131968922146,round_2,phase3,4,0,D1_4
0.6029491805181187,-1.7878440579074162,1.338966604099321,0.909821981337875,-0.3669125568857618,-2.3502930674859592,0.514527144037015,-1.1402870265367877,0.7362587623699474,-0.29094996061508893,0.6881899880198027,-0.6500052312825764,0.41635654059029753,-0.30017529953478894,-0.8373773075924608,0.35906459271063534,-0.1386692485050259,0.09506792528054539,round_2,phase2,4,0,D1_4
-0.9381161021909387,-0.9813172649545726,2.6753029724120347,0.2290212489715266,-0.12693781837534113,-1.4958463020227197,0.4182059486046008,-0.6103692823695654,1.0844076782421157,0.625054271788776,0.7424694816275781,-0.27116483094437854,0.057185334685948816,-0.4730834590800496,-0.7633826598498654,0.3912728537827178,-0.22558433050404048,-1.0674520977138575,round_2,phase1,4,0,D1_4
0.20996164818541596,-1.7446406368942209,1.7154517536040528,0.5438482714152936,-0.7767156446745378,-1.7035241109967547,0.325578466265546,-0.892696602828703,1.326700145644724,-0.8387996306683356,0.1628137273170512,-0.98621206485497,0.49524284823481796,0.19011669797060582,-0.42176883441932317,-0.2418116846434681,0.3796579801746362,-0.8279367755095766,round_4,phase3,4,0,D1_4
2.3097130796869263,-0.07001335593453455,1.7233673393940707,-0.8504662224382026,0.6185284818060531,-2.3680844017410707,0.6957830096208274,-2.005886806659461,0.940742708383209,-1.1531878350483589,0.593633654579242,1.1804048478642681,2.1612270030271814,-0.5316589537897312,0.7564496960382399,0.23628240957982025,-0.2652320350639393,-1.967502947664724,round_4,phase2,4,0,D1_4
-0.596055995767502,-1.0371127974487684,2.2461338681837577,0.34258639085324427,-0.22321714169235463,-1.4966053098821521,0.7981766350321735,-0.8563563566444977,1.1165531864387583,-0.6433975971856076,0.7330955583518589,0.36676239482102135,-0.2934495015113344,-0.06769570771723481,-0.8633110503472995,0.34132804825681295,0.1797558326702205,-0.7395077450718002,round_4,phase1,4,0,D1_4
-0.4479708442768261,-0.11668962493722049,3.034825909568407,-0.950059604474524,-0.8614383872787112,-1.7551429481314433,0.6516330579130796,-0.21193776842806727,0.6369309421604124,-1.6813105087189435,0.9833600165496753,0.21517093900571738,-1.4735258266963902,-0.7070494487973492,0.3974770751253852,0.7979498562378338,-0.8292553518418639,-0.5130740784757429,round_1,phase3,4,0,D1_4
-0.3382483409036622,-1.9561778464361255,0.9709401341049411,0.24331243767860417,-1.408847484593872,-2.223268095629008,1.0332472655893254,-1.115546969450115,0.430072675859228,-0.41786607157479544,0.5764173159048992,0.5857773369612513,-0.12930430931970094,-0.6002188934544538,-1.0200833125508852,0.3084835613200218,0.07599130526104247,-0.7846577672337031,round_1,phase2,4,0,D1_4
-1.1764039569942861,-1.6969202892476698,2.6386492663039913,0.18738073105251024,-0.3189375689206566,-1.4516147386249663,0.392548811008346,-0.4698591286449009,0.5687879977088804,-0.7999285010605004,0.6460794262673494,-0.0972520556654085,0.5556179942709057,-0.47933197733125504,-0.4883710926941063,0.5416600321487873,0.6466521685924344,-0.7145434109132321,round_1,phase1,4,0,D1_4
0.6877592660390583,-1.2416104626432845,1.7422835691189629,-1.3486843103003001,-1.0095567784005024,-1.8443647290815004,0.14354710590765185,-0.24602213054010985,0.16103892614738938,0.3551255966557994,0.014956558195581489,0.6924978780730415,-0.8559118145695372,-0.2894674207339578,-0.1696898606862754,-0.5314099917383197,-0.4421149811853544,-0.6601755727439272,round_3,phase3,5,0,D1_6
1.0244828074126384,-0.12799436871190628,1.9553181304120915,0.9003543818917094,-0.3870602716942715,-0.5252806600075833,0.5749024164967786,0.6030246834124997,-0.04467027918148222,0.6686855629524838,1.806781724451774,-0.2741282024529076,0.555867177109175,-0.663769133519262,0.031824267030069416,-0.9259155256324582,2.1150953512908752,-0.48695073239488995,round_3,phase2,5,0,D1_6
-0.15700212187368542,-0.8470055948027925,0.6574457257511327,-1.0306198553115373,1.4331929380476875,-1.5277838006724054,-0.20718745315546072,2.284112305306383,0.4333929692942406,-0.9583545675762096,-0.0031147383263891975,0.7832900148775287,-0.5019449454443446,-0.33955266872655626,-0.8580771267232897,-0.7917807943157706,0.1887496193207509,0.3702874951237066,round_3,phase1,5,0,D1_6
