Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1
round_2,phase3,9,1,D1_1,1,0.37640473419058307,0.623595265809416
round_2,phase2,9,1,D1_1,1,0.01474231754670736,0.9852576824532933
round_2,phase1,9,1,D1_1,1,0.03940768077119413,0.9605923192288051
round_4,phase3,9,1,D1_1,0,0.953789300229663,0.0462106997703373
round_4,phase2,9,1,D1_1,1,0.18617152499284648,0.8138284750071523
round_4,phase1,9,1,D1_1,1,0.1221495195064754,0.8778504804935248
round_1,phase3,9,1,D1_1,0,0.9999999999300329,6.996548566738338e-11
round_1,phase2,9,1,D1_1,0,0.5858467955810942,0.41415320441890724
round_1,phase1,9,1,D1_1,0,0.9999969504869127,3.049513084327367e-06
round_3,phase3,10,1,D1_1,0,0.6913305599858539,0.3086694400141468
round_3,phase2,10,1,D1_1,1,0.27164836496284844,0.7283516350371526
round_3,phase1,10,1,D1_1,1,0.01975328468045746,0.9802467153195424
round_2,phase3,10,1,D1_1,0,0.9329179951227055,0.06708200487729446
round_2,phase2,10,1,D1_1,0,0.7135150843206307,0.286484915679369
round_2,phase1,10,1,D1_1,1,0.35703163606120425,0.6429683639387945
round_4,phase3,10,1,D1_1,1,0.3489698165973541,0.6510301834026444
round_4,phase2,10,1,D1_1,1,0.019826676405823924,0.9801733235941765
round_4,phase1,10,1,D1_1,0,0.9951797209104513,0.004820279089547066
round_1,phase3,10,1,D1_1,0,0.9997397850922095,0.000260214907788771
round_1,phase2,10,1,D1_1,1,0.20337217838388552,0.7966278216161161
round_1,phase1,10,1,D1_1,1,0.4188198563120161,0.5811801436879843
round_3,phase3,11,0,D1_1,0,0.9696058633302349,0.030394136669765225
round_3,phase2,11,0,D1_1,0,0.8068930947219868,0.1931069052780124
round_3,phase1,11,0,D1_1,1,0.15630240015338007,0.8436975998466214
round_2,phase3,11,0,D1_1,0,0.9354816592039322,0.06451834079606754
round_2,phase2,11,0,D1_1,1,0.09883018401128565,0.9011698159887129
round_2,phase1,11,0,D1_1,1,0.055768716323331795,0.9442312836766672
round_4,phase3,11,0,D1_1,0,0.9751303197641352,0.024869680235864725
round_4,phase2,11,0,D1_1,1,0.1462404153049315,0.8537595846950694
round_4,phase1,11,0,D1_1,0,0.7888679009077355,0.21113209909226457
