Round,Phase,Individual,Puzzler,Cohort,q_cluster
round_3,phase1,19,1,D1_2,4
round_2,phase3,19,1,D1_2,4
round_2,phase2,19,1,D1_2,4
round_2,phase1,19,1,D1_2,4
round_4,phase3,19,1,D1_2,3
round_4,phase2,19,1,D1_2,3
round_4,phase1,19,1,D1_2,3
round_1,phase3,19,1,D1_2,4
round_1,phase2,19,1,D1_2,3
round_1,phase1,19,1,D1_2,4
round_3,phase3,20,0,D1_2,4
round_3,phase2,20,0,D1_2,3
round_3,phase1,20,0,D1_2,4
round_2,phase3,20,0,D1_2,4
round_2,phase2,20,0,D1_2,3
round_2,phase1,20,0,D1_2,4
round_4,phase3,20,0,D1_2,4
round_4,phase2,20,0,D1_2,5
round_4,phase1,20,0,D1_2,4
round_1,phase3,20,0,D1_2,4
round_1,phase2,20,0,D1_2,4
round_1,phase1,20,0,D1_2,3
round_3,phase3,21,1,D1_3,3
round_3,phase2,21,1,D1_3,1
round_3,phase1,21,1,D1_3,4
round_2,phase3,21,1,D1_3,4
round_2,phase2,21,1,D1_3,4
round_2,phase1,21,1,D1_3,1
round_4,phase3,21,1,D1_3,4
round_4,phase2,21,1,D1_3,3
round_4,phase1,21,1,D1_3,2
round_1,phase3,21,1,D1_3,3
round_1,phase2,21,1,D1_3,3
round_1,phase1,21,1,D1_3,3
round_3,phase3,22,0,D1_3,4
round_3,phase2,22,0,D1_3,4
round_3,phase1,22,0,D1_3,4
round_2,phase3,22,0,D1_3,4
round_2,phase2,22,0,D1_3,4
round_2,phase1,22,0,D1_3,4
round_4,phase3,22,0,D1_3,4
round_4,phase2,22,0,D1_3,4
round_4,phase1,22,0,D1_3,4
round_1,phase3,22,0,D1_3,4
round_1,phase2,22,0,D1_3,3
round_1,phase1,22,0,D1_3,2
round_3,phase3,23,0,D1_3,4
round_3,phase2,23,0,D1_3,4
round_3,phase1,23,0,D1_3,4
round_2,phase3,23,0,D1_3,4
round_2,phase2,23,0,D1_3,3
round_2,phase1,23,0,D1_3,4
round_4,phase3,23,0,D1_3,4
round_4,phase2,23,0,D1_3,4
round_4,phase1,23,0,D1_3,4
round_1,phase3,23,0,D1_3,4
round_1,phase2,23,0,D1_3,3
round_1,phase1,23,0,D1_3,2
round_3,phase3,24,1,D1_3,1
round_3,phase2,24,1,D1_3,1
round_3,phase1,24,1,D1_3,4
round_2,phase3,24,1,D1_3,4
round_2,phase2,24,1,D1_3,1
round_2,phase1,24,1,D1_3,4
round_4,phase3,24,1,D1_3,4
round_4,phase2,24,1,D1_3,3
round_4,phase1,24,1,D1_3,1
round_1,phase3,24,1,D1_3,1
round_1,phase2,24,1,D1_3,1
round_1,phase1,24,1,D1_3,1
round_3,phase3,25,0,D1_5,5
round_3,phase2,25,0,D1_5,3
round_3,phase1,25,0,D1_5,4
round_2,phase3,25,0,D1_5,3
round_2,phase2,25,0,D1_5,3
round_2,phase1,25,0,D1_5,5
round_4,phase3,25,0,D1_5,4
round_4,phase2,25,0,D1_5,4
round_4,phase1,25,0,D1_5,4
round_1,phase3,25,0,D1_5,4
round_1,phase2,25,0,D1_5,4
round_1,phase1,25,0,D1_5,4
round_3,phase3,26,1,D1_5,3
round_3,phase2,26,1,D1_5,3
round_3,phase1,26,1,D1_5,3
round_2,phase3,26,1,D1_5,3
round_2,phase2,26,1,D1_5,3
round_2,phase1,26,1,D1_5,4
round_4,phase3,26,1,D1_5,3
round_4,phase2,26,1,D1_5,5
round_4,phase1,26,1,D1_5,3
round_1,phase3,26,1,D1_5,4
round_1,phase2,26,1,D1_5,3
round_1,phase1,26,1,D1_5,1
