Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_3,phase3,7,1,D1_1,5,4.3973722e-14,2.33371e-40,0.0,0.0,2.3385464e-07,1.0
round_3,phase2,7,1,D1_1,1,0.0014708856,0.9984824,0.0,0.0,4.6696034e-05,0.0
round_3,phase1,7,1,D1_1,0,1.0,2.9584e-41,0.0,5.3933404e-16,3.969471e-35,0.0
round_2,phase3,7,1,D1_1,1,4.2020998e-05,0.99995804,0.0,4.6222155e-34,7.175552e-16,7.8665975e-38
round_2,phase2,7,1,D1_1,1,1.1496072e-06,0.99999905,8.60912e-12,1.82e-43,5.153236e-39,0.0
round_2,phase1,7,1,D1_1,4,3.710313e-13,2.5051055e-38,0.0,0.0,1.0,9.12e-43
round_4,phase3,7,1,D1_1,0,1.0,0.0,0.0,0.0,3.8860685e-32,0.0
round_4,phase2,7,1,D1_1,0,0.9996801,0.0,3.5e-43,0.000319942,5.1891395e-12,0.0
round_4,phase1,7,1,D1_1,0,1.0,1.0701892e-10,8.1518775e-36,4.55873e-30,1.5856363e-10,0.0
round_1,phase3,7,1,D1_1,5,1.6319892e-11,3.1226318e-29,2.1855133e-19,1.3430156e-16,2.8547363e-25,1.0
round_1,phase2,7,1,D1_1,2,6.880117e-28,4.0170987e-38,1.0,6.78695e-21,0.0,1.06e-43
round_1,phase1,7,1,D1_1,2,1.9557461e-24,2.0361201e-19,1.0,1.856357e-19,0.0,5.5616732e-14
round_3,phase3,8,0,D1_1,5,4.573202e-16,7.0270984e-26,0.00014907843,1.28933195e-14,2.2238504e-30,0.9998512
round_3,phase2,8,0,D1_1,5,9.404189e-12,0.0,0.0,0.0,1.9047304e-30,1.0
round_3,phase1,8,0,D1_1,1,1.7226908e-05,0.99998283,8.930805e-30,0.0,7.021777e-23,0.0
round_2,phase3,8,0,D1_1,3,2.5277514e-11,0.0,1.2218927e-23,1.0,0.0,0.0
round_2,phase2,8,0,D1_1,5,1.0311301e-14,3.7744366e-22,3.4691814e-07,8.2590496e-14,8.876317e-32,1.0
round_2,phase1,8,0,D1_1,0,1.0,1.5099948e-10,0.0,6.392053e-25,5.854902e-10,0.0
round_4,phase3,8,0,D1_1,4,1.8111644e-10,0.0,0.0,0.0,1.0,4.656943e-25
round_4,phase2,8,0,D1_1,2,0.0,0.0,1.0,1.2281056e-19,0.0,0.0
round_4,phase1,8,0,D1_1,4,3.942013e-06,3.2525738e-31,0.0,2.91833e-40,0.9999962,1.1177314e-38
round_1,phase3,8,0,D1_1,5,3.3528275e-16,4.3629905e-34,1.19e-43,1.67893e-10,2.3146219e-27,1.0
round_1,phase2,8,0,D1_1,2,4.6912396e-10,0.0024914457,0.9975083,1.2562823e-23,0.0,0.0
round_1,phase1,8,0,D1_1,1,0.2506638,0.7493362,7.619175e-34,2.742922e-26,2.9622803e-17,0.0
round_3,phase3,9,1,D1_1,0,1.0,0.0,0.0,1e-45,1.9349627e-14,0.0
round_3,phase2,9,1,D1_1,3,1.3423487e-10,0.0,8.0069875e-30,1.0,1.2843729e-38,0.0
round_3,phase1,9,1,D1_1,2,5.5862035e-09,1.3405331e-16,1.0,3.0981106e-19,0.0,0.0
round_2,phase3,9,1,D1_1,5,1.5225317e-10,0.0,0.0,0.0,0.0022410045,0.9977585
round_2,phase2,9,1,D1_1,3,3.309677e-06,0.0,2.1e-44,0.99999714,4.6294172e-18,1.447486e-13
round_2,phase1,9,1,D1_1,3,2.6540193e-13,0.0,1.4850037e-28,1.0,1.6526051e-24,5.387129e-09
round_4,phase3,9,1,D1_1,3,2.480265e-07,0.0,1.2634676e-15,1.0,0.0,0.0
round_4,phase2,9,1,D1_1,0,0.9999995,4.7563753e-16,5.6842773e-25,2.7772595e-07,1.5543838e-28,0.0
round_4,phase1,9,1,D1_1,1,0.004112158,0.99588764,1.0141306e-35,3.4e-44,1.7341498e-09,0.0
round_1,phase3,9,1,D1_1,2,8.30581e-29,1.6194439e-29,1.0,8.626346e-27,0.0,2.3262277e-26
round_1,phase2,9,1,D1_1,4,1.4554977e-06,2.8215908e-21,0.0,0.0,0.9999981,3.2153776e-32
round_1,phase1,9,1,D1_1,0,1.0,0.0,0.0,1.352374e-36,1.03761596e-16,0.0
round_3,phase3,10,1,D1_1,0,0.9052233,0.0,0.0,3.2718868e-24,0.0947767,0.0
round_3,phase2,10,1,D1_1,0,1.0,0.0,0.0,9.305393e-16,1e-45,0.0
round_3,phase1,10,1,D1_1,4,0.010960297,2.2557108e-15,0.0,1.251e-42,0.98903984,0.0
round_2,phase3,10,1,D1_1,1,4.9012144e-08,1.0,7.916145e-31,0.0,4.2695136e-30,0.0
round_2,phase2,10,1,D1_1,2,1.2375311e-06,0.0,0.9922889,0.007709646,1.3e-44,0.0
round_2,phase1,10,1,D1_1,1,0.00041852627,0.9995814,0.0,0.0,2.8628895e-09,0.0
round_4,phase3,10,1,D1_1,4,3.3485847e-08,0.0,0.0,0.0,1.0,1.0311451e-23
round_4,phase2,10,1,D1_1,3,5.512315e-09,1.069003e-39,1.2774894e-21,0.99964815,3.0253774e-24,0.00035174258
round_4,phase1,10,1,D1_1,5,1.3912958e-13,8.2623753e-25,0.0,0.0,2.8587872e-12,1.0
round_1,phase3,10,1,D1_1,2,1.7727547e-26,7.128818e-23,1.0,2.1334437e-20,0.0,1.2536569e-11
round_1,phase2,10,1,D1_1,1,3.0715054e-07,0.9999981,1.8880501e-06,4.6776286e-34,1.1056297e-36,0.0
round_1,phase1,10,1,D1_1,0,1.0,1.2499459e-27,1.9348516e-07,5.4283386e-19,2.473756e-25,0.0
round_3,phase3,11,0,D1_1,4,6.6633152e-09,0.0010875169,0.0,0.0,0.99891245,0.0
round_3,phase2,11,0,D1_1,3,2.983136e-16,9.209719e-25,5.655587e-21,1.0,0.0,1.7189322e-13
round_3,phase1,11,0,D1_1,0,0.9998722,0.0,0.0,8.328883e-05,4.442952e-05,0.0
round_2,phase3,11,0,D1_1,4,2.1004758e-09,2.972938e-10,0.0,0.0,1.0,0.0
round_2,phase2,11,0,D1_1,2,1.7750807e-13,1.3766806e-38,0.9966449,0.0033547624,5.4780025e-38,8.567831e-29
