Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,pa_score,na_score,emotional_cluster_id,emotional_label
round_3,phase1,4,0,D1_4,0,0.9990712018715192,6.396585146065161e-06,0.0009224015433352,3.8,1.0,0,Engaged/Calm
round_2,phase3,4,0,D1_4,1,0.0510708029690085,0.9479032983270896,0.0010258987039006,3.6,1.0,0,Engaged/Calm
round_2,phase2,4,0,D1_4,2,1.711946325275803e-09,1.331355498318065e-07,0.9999998651525052,3.8,1.0,0,Engaged/Calm
round_2,phase1,4,0,D1_4,1,0.2391262322431306,0.7581026911540916,0.0027710766027787,3.6,1.0,0,Engaged/Calm
round_4,phase3,4,0,D1_4,2,6.15573597168494e-06,0.4949295878720295,0.5050642563919974,3.0,0.8333333333333334,0,Engaged/Calm
round_4,phase2,4,0,D1_4,2,5.949479106744804e-09,7.428500922944842e-10,0.9999999933076716,4.0,1.0,0,Engaged/Calm
round_4,phase1,4,0,D1_4,0,0.8603798108569602,0.0809397538739204,0.0586804352691181,3.4,1.0,0,Engaged/Calm
round_1,phase3,4,0,D1_4,0,0.9183138641937184,0.0174190492603396,0.0642670865459406,3.6,1.0,0,Engaged/Calm
round_1,phase2,4,0,D1_4,0,0.5591672447697746,0.0100681220817551,0.43076463314847,3.6,1.0,0,Engaged/Calm
round_1,phase1,4,0,D1_4,1,0.1192173963206913,0.877446111032196,0.0033364926471119,3.6,1.0,0,Engaged/Calm
round_3,phase3,5,0,D1_6,1,0.1291707867751807,0.7295950879858283,0.1412341252389895,3.0,0.8333333333333334,0,Engaged/Calm
round_3,phase2,5,0,D1_6,2,1.944163719287176e-05,2.6989496560094857e-05,0.9999535688662474,4.0,1.8333333333333333,3,Tense/Stressed
round_3,phase1,5,0,D1_6,1,0.1032492249911354,0.8797266419963148,0.0170241330125493,2.6,0.8333333333333334,0,Engaged/Calm
round_2,phase3,5,0,D1_6,0,0.9874140693130504,0.000501521923305,0.0120844087636439,3.0,1.8333333333333333,3,Tense/Stressed
round_2,phase2,5,0,D1_6,0,0.8310242962964035,2.122760691730758e-05,0.1689544760966803,3.0,1.8333333333333333,3,Tense/Stressed
round_2,phase1,5,0,D1_6,0,0.8895861467761331,4.541318611048493e-09,0.1104138486825457,2.0,0.8333333333333334,0,Engaged/Calm
round_4,phase3,5,0,D1_6,2,1.5196462159314276e-12,8.25501125440562e-08,0.9999999174483668,2.4,0.8333333333333334,0,Engaged/Calm
round_4,phase2,5,0,D1_6,2,0.1490297251269676,3.301884155048666e-06,0.850966972988878,3.6,2.1666666666666665,3,Tense/Stressed
round_4,phase1,5,0,D1_6,0,0.9999995461848492,9.739616335131147e-11,4.537177560151119e-07,2.6,1.0,0,Engaged/Calm
round_1,phase3,5,0,D1_6,1,0.0055431973227275,0.9907326118521346,0.0037241908251387,2.8,1.5,1,Alert/Anxious
round_1,phase2,5,0,D1_6,2,0.4916776896216325,0.0081396015389084,0.50018270883946,2.8,1.5,1,Alert/Anxious
round_1,phase1,5,0,D1_6,1,0.0018588423652098,0.985675748728066,0.0124654089067258,2.8,1.1666666666666667,1,Alert/Anxious
round_3,phase3,6,1,D1_6,2,8.302242430099141e-15,1.521363724917702e-09,0.9999999984786284,1.0,0.8333333333333334,2,Drained/Disengaged
round_3,phase2,6,1,D1_6,1,0.0645407150138976,0.9345122140315224,0.0009470709545794,2.0,0.8333333333333334,0,Engaged/Calm
round_3,phase1,6,1,D1_6,0,0.9996468860465276,2.568267887858392e-24,0.0003531139534698,1.0,0.8333333333333334,2,Drained/Disengaged
round_2,phase3,6,1,D1_6,0,0.9711726594058716,0.0045354889749524,0.024291851619177,1.8,1.3333333333333333,2,Drained/Disengaged
round_2,phase2,6,1,D1_6,1,0.3491834477094738,0.6420183959461415,0.0087981563443864,1.8,1.3333333333333333,2,Drained/Disengaged
round_2,phase1,6,1,D1_6,1,0.0016100585212333,0.9513419533899092,0.0470479880888569,1.2,0.8333333333333334,2,Drained/Disengaged
round_4,phase3,6,1,D1_6,1,0.2450813000321945,0.7147463825108785,0.0401723174569282,1.0,0.8333333333333334,2,Drained/Disengaged
round_4,phase2,6,1,D1_6,1,0.2315551360548111,0.659789414827743,0.1086554491174472,2.0,1.1666666666666667,2,Drained/Disengaged
round_4,phase1,6,1,D1_6,1,0.1074924891523877,0.8855688267072478,0.0069386841403649,2.0,0.8333333333333334,0,Engaged/Calm
round_1,phase3,6,1,D1_6,1,0.0009206522994678,0.9192311529721656,0.0798481947283647,2.4,1.1666666666666667,1,Alert/Anxious
round_1,phase2,6,1,D1_6,2,2.7701212232941237e-06,1.5610519957126291e-09,0.999997228317725,2.4,1.1666666666666667,1,Alert/Anxious
round_1,phase1,6,1,D1_6,1,0.1255286128161829,0.8459832508910674,0.0284881362927479,1.8,1.0,0,Engaged/Calm
round_3,phase3,7,1,D1_1,0,0.7880971586087917,0.0001370553582878,0.2117657860329208,1.4,1.0,2,Drained/Disengaged
round_3,phase2,7,1,D1_1,0,0.990129087811092,0.0062368729686766,0.0036340392202311,2.4,1.6666666666666667,3,Tense/Stressed
round_3,phase1,7,1,D1_1,0,0.9894847628607124,0.0045351152517547,0.0059801218875328,1.4,1.0,2,Drained/Disengaged
round_2,phase3,7,1,D1_1,0,0.976491120173084,4.769553008173649e-05,0.0234611842968355,1.4,1.0,2,Drained/Disengaged
round_2,phase2,7,1,D1_1,0,0.9638567415518418,1.9950753233053635e-11,0.0361432584282084,2.2,1.8333333333333333,3,Tense/Stressed
round_2,phase1,7,1,D1_1,1,0.0022568843211998,0.977704393473854,0.0200387222049462,1.4,1.0,2,Drained/Disengaged
round_4,phase3,7,1,D1_1,0,0.7466181320511369,0.2387040876897103,0.0146777802591528,1.0,0.8333333333333334,2,Drained/Disengaged
round_4,phase2,7,1,D1_1,1,0.0113035096936728,0.9693003356551456,0.0193961546511823,1.4,1.5,2,Drained/Disengaged
round_4,phase1,7,1,D1_1,0,0.9238938882685932,0.0043911585627158,0.0717149531686908,1.8,1.0,0,Engaged/Calm
round_1,phase3,7,1,D1_1,2,2.462471808727791e-09,0.0022866025502225,0.9977133949873022,1.6,1.3333333333333333,2,Drained/Disengaged
round_1,phase2,7,1,D1_1,2,0.0001323860363898,1.0512247471693013e-07,0.9998675088411348,2.4,1.3333333333333333,1,Alert/Anxious
round_1,phase1,7,1,D1_1,2,1.95793527637154e-12,8.512412455242481e-18,0.9999999999980388,1.4,1.0,2,Drained/Disengaged
round_3,phase3,8,0,D1_1,2,0.0282466454975256,0.0188420204913005,0.9529113340111752,1.2,1.5,2,Drained/Disengaged
round_3,phase2,8,0,D1_1,0,0.5263224207788235,0.000121170613168,0.4735564086080074,2.8,1.5,1,Alert/Anxious
round_3,phase1,8,0,D1_1,0,0.9660817002090468,3.9173107861697095e-06,0.0339143824801673,1.6,1.0,2,Drained/Disengaged
round_2,phase3,8,0,D1_1,2,0.0265200616785104,0.065659688786833,0.9078202495346582,2.2,1.1666666666666667,1,Alert/Anxious
round_2,phase2,8,0,D1_1,1,0.0258252160018563,0.8853166811085252,0.088858102889619,2.6,1.8333333333333333,3,Tense/Stressed
round_2,phase1,8,0,D1_1,1,0.0087139610479289,0.9496108831284796,0.041675155823592,2.4,1.0,0,Engaged/Calm
round_4,phase3,8,0,D1_1,1,0.0009206983177265,0.9980923049295998,0.0009869967526734,1.0,0.8333333333333334,2,Drained/Disengaged
round_4,phase2,8,0,D1_1,2,1.2863030651314562e-05,0.0020295447546206,0.9979575922147292,3.6,1.6666666666666667,1,Alert/Anxious
round_4,phase1,8,0,D1_1,1,0.003546511342409,0.9951434777464072,0.0013100109111824,1.2,1.0,2,Drained/Disengaged
round_1,phase3,8,0,D1_1,2,0.072551436717615,6.343853405817857e-05,0.9273851247483242,2.8,1.1666666666666667,1,Alert/Anxious
round_1,phase2,8,0,D1_1,2,0.0029716775372951,6.164598033695024e-16,0.997028322462704,3.8,1.5,1,Alert/Anxious
round_1,phase1,8,0,D1_1,0,0.8183824863602174,9.492164613310187e-15,0.1816175136397722,2.6,1.1666666666666667,1,Alert/Anxious
round_3,phase3,9,1,D1_1,1,0.2269487731187364,0.7654839278249198,0.0075672990563438,1.6,1.3333333333333333,2,Drained/Disengaged
round_3,phase2,9,1,D1_1,2,0.0001154983608376,0.0278712440388793,0.9720132576002848,2.0,1.8333333333333333,3,Tense/Stressed
round_3,phase1,9,1,D1_1,2,0.2164285409028244,7.742431389748698e-12,0.7835714590894315,2.0,1.3333333333333333,2,Drained/Disengaged
round_2,phase3,9,1,D1_1,1,0.0429146199394698,0.9534003027498864,0.0036850773106447,1.8,1.5,2,Drained/Disengaged
round_2,phase2,9,1,D1_1,1,0.0483254976076156,0.935022295455152,0.0166522069372326,2.6,1.0,0,Engaged/Calm
