Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_4,phase1,2,0,D1_4,1,0.03750184215161872,0.9609438499760846,0.0015543078722971414
round_1,phase3,2,0,D1_4,0,0.9990029955108419,7.831708466829632e-16,0.000997004489159091
round_1,phase2,2,0,D1_4,0,0.7545204739972519,0.018720994925086422,0.2267585310776628
round_1,phase1,2,0,D1_4,1,0.05101675260046216,0.9415963450319702,0.0073869023675671355
round_3,phase3,3,1,D1_4,0,0.5396059372635782,6.037653190546827e-06,0.4603880250832316
round_3,phase2,3,1,D1_4,0,0.8023431361423298,0.005827603480434221,0.19182926037723436
round_3,phase1,3,1,D1_4,0,0.9980232340332446,2.3480435478490523e-05,0.001953285531278306
round_2,phase3,3,1,D1_4,1,0.00656155727985674,0.9907306719229027,0.00270777079723903
round_2,phase2,3,1,D1_4,2,0.000658129449043788,2.622051089150953e-06,0.9993392484998658
round_2,phase1,3,1,D1_4,0,0.999689261851969,6.402796682409971e-11,0.00031073808400512894
round_4,phase3,3,1,D1_4,1,0.00011977076366733122,0.9932018479941961,0.006678381242136397
round_4,phase2,3,1,D1_4,2,0.0004785421271395395,0.10491820127767228,0.8946032565951874
round_4,phase1,3,1,D1_4,1,0.1344906088638995,0.8513702683008768,0.01413912283522355
round_1,phase3,3,1,D1_4,2,0.003610174913527658,0.2676554276079444,0.7287343974785276
round_1,phase2,3,1,D1_4,2,2.2538520543354827e-06,1.0446197188217618e-05,0.9999872999507563
round_1,phase1,3,1,D1_4,0,0.5891979410746071,0.00019646430253970125,0.41060559462285146
round_3,phase3,4,0,D1_4,0,0.9999994479338202,1.9447639525555718e-08,5.326185409289434e-07
round_3,phase2,4,0,D1_4,2,5.6898262363057566e-05,3.71347609403789e-10,0.9999431013662896
round_3,phase1,4,0,D1_4,0,0.9990712018715192,6.396585146065161e-06,0.0009224015433352386
round_2,phase3,4,0,D1_4,1,0.0510708029690085,0.9479032983270895,0.0010258987039006625
round_2,phase2,4,0,D1_4,2,1.7119463252758032e-09,1.331355498318065e-07,0.9999998651525053
round_2,phase1,4,0,D1_4,1,0.23912623224313062,0.7581026911540916,0.0027710766027787574
round_4,phase3,4,0,D1_4,2,6.15573597168494e-06,0.49492958787202956,0.5050642563919974
round_4,phase2,4,0,D1_4,2,5.949479106744804e-09,7.428500922944843e-10,0.9999999933076715
