PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Round,Phase,Individual,Puzzler,Cohort,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
0.29602909571209945,0.06396907611695801,1.5804591734634446,-1.0352716683979961,-1.8309071694532575,0.8533242052999119,-4.678497527415933,-1.1821500960675486,0.5394992025735734,-0.5507754917914995,0.34701633689224615,1.7230728492455187,-0.11775284302667606,-0.22878112066161613,1.0947763100326928,-1.049648095261939,round_3,phase3,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0
0.7544741336516712,0.7429884149432755,-0.1776765385595177,-0.3496472841513837,-2.1059722110920833,-0.7579598425286279,-0.6883338894806902,-0.014868368287155277,0.43239783847994195,0.194602314253439,-2.871693740148839,0.22944375268907358,0.2593639323704029,1.4141879277848417,-0.9208550740018593,0.9109037421943141,round_3,phase2,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0
-4.448607509824531,-2.5252517531307244,-1.273478936605468,-1.39141203532952,1.9899869941844255,0.0583657023864474,-0.17274630129824106,-0.9950168182817742,0.47772731861793877,-0.1884340219813624,-0.11619671476943806,0.23036914518554355,-0.7412905894779934,-1.7728063755116472,0.6714372326343251,-1.459304887048756,round_3,phase1,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
-2.233862315487685,-2.362746249173026,-0.9030888567237232,-0.028417532538791798,1.080660170178198,1.7093268712178749,0.8755878038613146,-0.018184154856220724,-1.3000715378317533,0.3783791712233809,0.5996002202814001,-0.2932093900486265,0.28181467419710426,0.21584087178883182,-0.6501605117310855,-0.012180556037346229,round_2,phase3,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0
6.0838944132257735,-1.8532085023288793,-1.4589467691067899,-0.6886416441387835,-1.1763062251943657,2.014639064748855,0.7442187592424485,1.1232766845275783,-1.399391985196828,0.6411280634747595,-1.4709450433951266,2.6962122548594785,-0.33569893551596003,0.73117296829513,-0.3743810613647695,1.201708869458377,round_2,phase2,2,0,D1_4,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0
2.8597994238177127,4.319595598962557,-0.37883769830021613,-0.5340685514463513,3.0923467905234316,0.022360955087932167,1.8389194343051853,-0.840932579353658,-0.6377237074075084,-0.7285620952610825,-0.4114810118607343,-0.3195602538666848,0.12204800998455427,0.06488931552145491,0.46360973222398383,-0.6900092523707724,round_2,phase1,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0
-2.793360380811569,-3.0164427648657837,-2.235780814735968,1.0796815120882302,1.2240963211024285,0.39553186100420895,0.3753485504639661,-0.5923645922194597,1.9970068586853904,-0.5947192307876799,1.388166577916523,-0.8018709645351266,0.02693023317930138,-2.1764288572561754,-0.8579226032778258,1.2013417041735615,round_4,phase3,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.010740225762745,-0.6680516616283659,1.3417668184163056,0.4273565916477242,-0.42198456215939134,-1.2755560010497615,-0.8834468343025078,-0.08807029293643712,-0.5680035650973256,0.6865340360468384,-0.4822719100174711,-0.6267610635257912,0.7368890195266018,-0.6010117530971466,0.530173817485761,-0.8725065173647534,round_4,phase2,2,0,D1_4,7.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,5.0
-1.6575740484227983,-0.8995542754578782,2.655562703971757,0.6522273537691089,0.026408747359945188,-0.5602682823105869,0.3270106133902629,0.29111061112413994,1.2167599989739954,1.225502237875084,1.4669275080490893,-0.21700086219910228,0.4884199498789534,0.07696169449933281,-0.460825466492149,-0.8838416839058307,round_4,phase1,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0
-0.7635561126543935,5.3345291463668065,-2.176551794795965,0.13002377169798665,0.5310248261190945,0.019797129381215053,0.15197412392228463,0.6919048346828105,-1.3412611214569699,0.18621160745032558,-0.18883597452105794,-0.7195866182637672,-0.7083798976932751,2.4470284570898206,-0.44308739987513757,0.4804938037728599,round_1,phase3,2,0,D1_4,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0
-0.46094260422397826,1.2082207649905021,1.3279314112171627,2.1986236727512556,-0.9457666203865498,-1.5173484545809375,1.0389352718934075,0.7717099830610549,0.6861424517229227,-1.9236039539558298,0.6144423720500003,-0.918773868508682,0.2889508016258032,-1.1006281211519497,0.9098386469433183,1.4202501748931118,round_1,phase2,2,0,D1_4,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0
-2.647034320745059,-0.3440477947954421,1.6986413017589985,-0.4604541859514865,-1.4635870611818635,-0.962213208656545,1.0710299954184865,0.85358478860667,-0.10308175206337948,0.6737373634536441,1.125271379523393,-0.9823349810318275,-0.3012943550488156,0.929574992699109,0.03739637742274201,-0.24720730250283648,round_1,phase1,2,0,D1_4,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0
1.6375371973144055,1.7955926205105006,-0.6763652139141958,-1.3289407715050132,0.8173792599544781,-0.3141748999803594,-0.8591195121117859,-0.9579302551178994,1.0218746493738375,-0.12539434887241815,1.024799968121969,1.5142829352874012,0.886346417934483,1.8562071107218052,0.15192161108847177,-0.6616294179307651,round_3,phase3,3,1,D1_4,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0
-1.4227022425600564,2.389096841594138,1.8880870989319167,-0.3732242276429479,0.21348548961608857,-0.8130670872275039,1.3141515499735612,-0.6101450876289671,-1.108699283289166,-2.0667482598735694,-0.05676812473516838,-0.3471952478693242,-0.7542946814298537,1.110578126749314,0.6843441816602572,-0.7420310294522636,round_3,phase2,3,1,D1_4,2.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0
-4.773478510446154,0.4838120279985417,0.06360121378853649,-2.4692286987958543,-0.1326661484967788,-0.42024444732274685,-0.8900158913025765,-0.3305786621467169,1.5108650495637401,1.2012989988855034,-0.1142314667201145,0.7261037616533432,1.675193235759075,0.019106275030563176,1.1924772536729977,1.0835919189396634,round_3,phase1,3,1,D1_4,0.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0
-2.705287003854979,-1.3550806632008412,0.810857636220373,0.595693756197169,-1.9580791018934853,1.0020919937301027,0.0935213533584126,0.7703319500013905,0.7789868756098672,-0.28158419860901396,-0.8809488572668891,-0.5086001083568975,0.2603291230869912,0.8735949397519025,-1.8268319885516353,0.075631799318553,round_2,phase3,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0
1.1129966498071768,0.11792613857796516,1.606433584478272,-0.7648773841108213,0.45175272373736586,-1.656378955694962,0.8341315562112422,-0.03729705993455901,-1.858022320099475,-1.1476917762488144,-0.7609591910471379,1.033904690869591,-1.4957235063707515,0.32401538772697636,0.764527219984016,0.7952818861632555,round_2,phase2,3,1,D1_4,0.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0
0.5682798486291069,2.9147815772153596,-5.066854394102351,2.0249375313222058,-1.4482756203690406,0.6155294902840522,-2.550490746272498,2.705483457395782,1.0740819810884594,-2.206047516188461,1.5828520838801745,0.3187228427916975,-0.7652253469576549,0.754400173242751,1.4698268829989733,-0.4218384201772546,round_2,phase1,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0
-2.2493284986479214,-1.9866881901461277,-1.1294137488035456,-0.2966089659305806,-1.8790770712203684,1.8659918837044631,-1.7724055000388115,-2.6996117463735794,-1.4679675051185033,1.2649252585758963,0.2921431791075038,-1.8037107684545128,0.8298106534139512,-0.25122519027857343,-1.4192226120337226,0.4698762589322371,round_4,phase3,3,1,D1_4,0.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0
