Cohort,Individual,Round,Phase,Puzzler,upset,hostile,alert,ashamed,inspired,nervous,determined,attentive,afraid,active,frustrated,difficulty,Cluster
D1_4,ID_1,round_2,phase1,0,1,1,3,2,3.0,2,4.0,3.0,2.0,3.0,2,0.0,1
D1_4,ID_1,round_2,phase2,0,3,1,3,2,3.0,3,4.0,4.0,2.0,4.0,2,2.0,1
D1_4,ID_1,round_2,phase3,0,1,1,2,1,3.0,2,3.0,3.0,2.0,3.0,2,0.0,1
D1_4,ID_1,round_3,phase1,0,1,1,2,1,3.0,2,3.0,3.0,2.0,3.0,2,0.0,1
D1_4,ID_1,round_3,phase2,0,2,1,3,2,2.0,2,3.0,3.0,1.0,3.0,3,3.0,1
D1_4,ID_1,round_3,phase3,0,1,1,2,1,2.0,2,2.0,3.0,1.0,2.0,2,0.0,1
D1_4,ID_1,round_4,phase1,0,1,1,1,1,2.0,1,2.0,2.0,1.0,2.0,1,0.0,1
D1_4,ID_1,round_4,phase2,0,1,1,2,1,3.0,2,3.0,4.0,1.0,3.0,0,2.0,1
D1_4,ID_1,round_4,phase3,0,1,1,1,1,1.0,1,1.0,1.0,1.0,1.0,0,0.0,1
D1_4,ID_2,round_1,phase1,1,1,1,4,1,3.0,2,4.0,3.0,1.0,4.0,0,0.0,1
D1_4,ID_2,round_1,phase2,1,1,1,4,1,3.0,2,3.0,3.0,1.0,5.0,0,4.0,1
D1_4,ID_2,round_1,phase3,1,1,1,4,1,3.0,2,3.0,3.0,1.0,5.0,0,0.0,1
D1_4,ID_2,round_2,phase1,1,1,1,3,1,3.0,2,4.0,3.0,1.0,5.0,0,0.0,1
D1_4,ID_2,round_2,phase2,1,1,1,4,1,4.0,2,3.0,3.0,1.0,5.0,0,3.0,1
D1_4,ID_2,round_2,phase3,1,1,1,4,1,3.0,2,3.0,3.0,1.0,5.0,0,0.0,1
D1_4,ID_2,round_3,phase1,1,1,1,4,1,3.0,2,4.0,3.0,1.0,5.0,0,0.0,1
D1_4,ID_2,round_3,phase2,1,1,1,4,1,3.0,3,3.0,3.0,1.0,5.0,1,4.0,1
D1_4,ID_2,round_3,phase3,1,1,1,3,1,2.0,2,3.0,3.0,1.0,4.0,1,0.0,0
D1_4,ID_2,round_4,phase1,1,1,1,3,1,3.0,2,3.0,3.0,1.0,5.0,0,0.0,0
D1_4,ID_2,round_4,phase2,1,1,1,4,1,4.0,2,3.0,4.0,1.0,5.0,0,3.0,0
D1_4,ID_2,round_4,phase3,1,1,1,3,1,3.0,1,3.0,3.0,1.0,3.0,0,0.0,0
D1_4,ID_3,round_1,phase1,1,1,1,3,1,1.0,1,1.0,3.0,1.0,2.0,0,0.0,0
